Nb,CdTe,M_Te,-2,1,5,5,1,4,0,-0.33,-34.6936,-0.02,-205.2,-0.171,-94.15,-0.5,-11,-1,2.705,2.705,5.636,6.44,8.124
Mo,CdTe,M_Te,-2,1,5,6,1,4,0,-0.38,-31.66,-0.06,-184.3,-0.238,-94.15,0.06,-10,0,2.664,2.649,5.68,6.155,7.381
Tc,CdTe,M_Te,-2,1,5,7,1,4,0,-0.41,-29.6,-0.09,-167.2,-0.242,-120.15,-0.2,-9,1,2.248,2.233,5.399,5.874,6.348
Ru,CdTe,M_Te,-2,1,5,8,1,4,0,-0.35,-26.53,-0.11,-158.2,-0.275,-80.15,0.1,-8,2,1.793,2.243,4.63,5.164,6.588
Rh,CdTe,M_Te,-2,1,5,9,1,4,0,-0.3,-24.6945,-0.11,-149.2,-0.255,-70.15,0.18,-7,0,1.673,1.658,4.069,5.012,6.436
Pd,CdTe,M_Te,-2,1,5,10,1,4,0,-0.33,-21.18,-0.08,-64.2,-0.225,-130.15,0.1,-6,-2,1.598,2.424,2.434,2.435,3.374
Ag,CdTe,M_Te,-2,1,5,11,1,4,0,0.18,-19.732,-0.02,-138.2,-0.156,-64.45,-0.17,-5,-4,2.634,2.619,2.11,2.21,2.808
Cd,CdTe,M_Te,-2,1,5,12,1,4,0,-0.02,-15.19,0.05,-1.5,-0.111,-190.15,-0.41,-4,-4,3.065,3.05,1.449,2.397,3.346
La,CdTe,M_Te,-2,1,6,3,1,4,0,0.19,11.3055,-0.11,-331.1,0.277,-140.15,-1,5,-3,3.352,3.337,6.138,7.323,8.793
Hf,CdTe,M_Te,-2,1,6,4,1,4,0,-0.14,50.89,0.08,-227.2,-0.036,-190.15,-0.8,20,-2,2.67,2.655,4.798,5.273,5.747
Ta,CdTe,M_Te,-2,1,6,5,1,4,0,-0.33,53.3479,-0.02,-108.2,-0.17,-130.15,-0.6,21,-1,2.507,2.492,6.406,6.881,7.355
W,CdTe,M_Te,-2,1,6,6,1,4,0,-0.37,56.25,-0.06,-99.2,-0.23,-130.15,0.26,22,0,2.111,2.096,7.727,8.201,8.676
Re,CdTe,M_Te,-2,1,6,7,1,4,0,-0.44,58.607,-0.08,-109.2,-0.23,-176.15,-0.2,23,1,2.255,2.24,6.562,7.036,7.51
Os,CdTe,M_Te,-2,1,6,8,1,4,0,-0.34,62.6,-0.1,-29.2,-0.26,-80.15,0.1,24,2,1.728,2.223,5.722,6.196,6.67
Ir,CdTe,M_Te,-2,1,6,9,1,4,0,-0.34,64.62,-0.09,10.8,-0.243,-40.15,0.1,25,-3,1.653,1.638,3.935,4.409,5.215
Pt,CdTe,M_Te,-2,1,6,10,1,4,0,-0.34,67.48,-0.06,0.8,-0.22,15.15,0.18,26,-2,1.3,2.41,2.258,2.258,3.568
Au,CdTe,M_Te,-2,1,6,11,1,4,0,-0.12,69.3665,-0.02,20.9,-0.158,32.59,0.44,27,-3,2.627,2.612,2.24,1.687,2.331
Hg,CdTe,M_Te,-2,1,6,12,1,4,0,0.05,72.99,0.13,137.8,0,-190.15,-0.1,28,-4,3.141,3.126,1.716,1.874,2.642
Li,CdTe,M_i_Cd_site,0,3,2,1,0.25,4,3,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1,3.729,3.714,1.615,1.621,1.859
Na,CdTe,M_i_Cd_site,0,3,3,1,0.25,4,3,1.02,22.98977,1.54,495.8,1.9,52.7,0.93,11,1,3.973,3.958,1.346,1.583,1.966
K,CdTe,M_i_Cd_site,0,3,4,1,0.25,4,3,1.51,39.0983,2.03,418.8,2.35,48.36,0.82,19,1,4.19,4.175,2.14,2.377,2.873
Rb,CdTe,M_i_Cd_site,0,3,5,1,0.25,4,3,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4,4.45,4.435,2.824,3.061,3.69
Cs,CdTe,M_i_Cd_site,0,3,6,1,0.25,4,3,1.74,132.9054,2.35,375.7,2.67,45.49,0.79,55,1,4,4,4.035,4.272,4.966
Be,CdTe,M_i_Cd_site,0,3,2,2,0.25,4,3,0.45,9.01218,0.9,899.4,1.12,-240,1.57,4,2,3.234,3.219,3.006,3.361,3.716
Mg,CdTe,M_i_Cd_site,0,3,3,2,0.25,4,3,0.72,24.305,1.36,737.7,1.6,-230,1.31,12,2,3.642,3.657,2.711,2.808,3.283
Ca,CdTe,M_i_Cd_site,0,3,4,2,0.25,4,3,1,40.078,1.74,589.8,1.97,-156,1,20,2,4.121,4.226,3.197,3.671,4.146
Sr,CdTe,M_i_Cd_site,0,3,5,2,0.25,4,3,1.26,87.62,1.91,549.5,2.15,-168,0.95,38,2,4.24,4.375,3.554,4.028,4.503
Ba,CdTe,M_i_Cd_site,0,3,6,2,0.25,4,3,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2,4.383,4.383,4.187,4.661,5.136
B,CdTe,M_i_Cd_site,0,3,2,13,0.25,4,3,0.23,10.811,0.82,800.6,0.98,27,2.04,5,3,3.049,3.034,4.738,4.738,4.738
Al,CdTe,M_i_Cd_site,0,3,3,13,0.25,4,3,0.54,26.98154,1.18,577.6,1.43,45,1.61,13,3,3.742,3.727,2.166,2.578,3.312
Ga,CdTe,M_i_Cd_site,0,3,4,13,0.25,4,3,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,3.673,3.658,1.506,1.892,2.464
In,CdTe,M_i_Cd_site,0,3,5,13,0.25,4,3,0.8,114.82,1.44,558.3,1.66,29,1.78,49,3,3.941,3.926,2.555,2.174,2.845
Tl,CdTe,M_i_Cd_site,0,3,6,13,0.25,4,3,1.59,204.383,1.48,589.3,1.71,30,2.04,81,3,3.983,3.968,1.987,2.191,2.461
C,CdTe,M_i_Cd_site,0,3,2,14,0.25,4,3,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4,2.745,2.73,6.559,6.559,6.559
Si,CdTe,M_i_Cd_site,0,3,3,14,0.25,4,3,0.26,28.0855,1.11,786.4,1.32,133.6,1.9,14,4,3.267,3.252,2.792,2.792,2.792
Ge,CdTe,M_i_Cd_site,0,3,4,14,0.25,4,3,0.53,72.61,1.22,762.1,1.37,120,2.01,32,4,3.398,3.383,2.128,2.128,2.442
Sn,CdTe,M_i_Cd_site,0,3,5,14,0.25,4,3,0.71,118.71,1.41,708.6,1.62,121,1.96,50,4,3.882,3.867,2.285,2.559,3.034
Pb,CdTe,M_i_Cd_site,0,3,6,14,0.25,4,3,1.19,207.2,1.47,715.5,1.75,110,2.33,82,4,3.99,3.975,2.37,2.844,3.319
N,CdTe,M_i_Cd_site,0,3,2,15,0.25,4,3,1.71,14.0067,0.75,1402.3,0.92,-7,3.04,7,5,2.002,1.987,4.815,4.736,4.657
P,CdTe,M_i_Cd_site,0,3,3,15,0.25,4,3,0.17,30.97376,1.06,1011.7,1.28,71.7,2.19,15,5,3.212,3.197,2.942,2.705,2.65
As,CdTe,M_i_Cd_site,0,3,4,15,0.25,4,3,0.58,74.9216,1.2,947,1.39,77,2.16,33,5,3.524,3.508,2.75,2.227,2.25
Sb,CdTe,M_i_Cd_site,0,3,5,15,0.25,4,3,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5,3.854,3.839,3.996,4.707,5.42
Bi,CdTe,M_i_Cd_site,0,3,6,15,0.25,4,3,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5,4.147,4.132,2.666,2.666,3.263
O,CdTe,M_i_Cd_site,0,3,2,16,0.25,4,3,1.4,15.9994,0.73,1313.9,0.73,141.1,3.44,8,2,1.735,1.735,3.98,3.506,3.284
S,CdTe,M_i_Cd_site,0,3,3,16,0.25,4,3,0.29,32.066,1.02,999.58,1.27,200.42,2.58,16,6,2.315,2.54,3.29,2.816,2.342
Se,CdTe,M_i_Cd_site,0,3,4,16,0.25,4,3,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6,2.681,2.801,3.127,2.653,2.179
Te,CdTe,M_i_Cd_site,0,3,5,16,0.25,4,3,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6,3.864,3.849,3.427,2.953,2.478
F,CdTe,M_i_Cd_site,0,3,2,17,0.25,4,3,1.33,18.9984,0.72,1681,0.72,328,3.98,9,1,1.562,1.547,2.213,1.976,1.739
Cl,CdTe,M_i_Cd_site,0,3,3,17,0.25,4,3,1.81,35.4527,0.99,1251.1,0.99,348.8,3.16,17,7,2.05,2.035,2.616,2.379,2.142
Br,CdTe,M_i_Cd_site,0,3,4,17,0.25,4,3,1.96,79.904,1.14,1139.9,1.14,324.6,2.96,35,7,2.603,2.587,3.017,2.78,2.543
I,CdTe,M_i_Cd_site,0,3,5,17,0.25,4,3,2.2,126.9045,1.33,1008.4,1.33,295.3,2.66,53,7,3.556,3.541,4.081,3.844,3.607
Sc,CdTe,M_i_Cd_site,0,3,4,3,0.25,4,3,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3,3.903,3.888,3.577,4.288,5
Ti,CdTe,M_i_Cd_site,0,3,4,4,0.25,4,3,0.61,47.88,1.32,658,1.448,20,1.54,22,4,3.762,3.747,3.283,4.009,4.959
V,CdTe,M_i_Cd_site,0,3,4,5,0.25,4,3,0.54,50.9415,1.22,650,1.321,50,1.63,23,5,3.691,3.676,2.844,3.322,4.187
Cr,CdTe,M_i_Cd_site,0,3,4,6,0.25,4,3,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6,3.742,3.727,2.085,2.724,3.49
Mn,CdTe,M_i_Cd_site,0,3,4,7,0.25,4,3,0.67,54.938,1.17,717.4,1.24,0,1.55,25,7,3.589,3.574,2.26,2.734,3.397
